Lat,Lon,city_id,country,param,y2020,yBaseline,diff,diffRel
-45.57948808502773,-72.05533883271718,335,Chile,pm25,30.135722695283018,8.09643527,22.039287425283018,272.20976504247426
-41.43976674409044,-72.93450784994862,961,Chile,pm25,19.97692083238095,6.73350765,13.243413182380952,196.67926244029667
-39.818361670807455,-73.24363535817805,1208,Chile,pm25,13.558739523809523,2.9930555666666665,10.565683957142856,353.00660885857667
-38.737876711598744,-72.60036845141066,1157,Chile,pm25,16.47361389326923,3.45705893,13.01655496326923,376.52106101845453
-37.505743531111115,-72.66524209333333,811,Chile,pm25,27.592823713265307,21.50010475,6.092718963265309,28.33808967030874
-37.46716443311258,-72.34326740927152,700,Chile,pm25,17.884686348076922,8.012223500000001,9.872462848076921,123.21751693617782
-37.02154112438625,-73.14740956628478,327,Chile,no2,12.914898456435644,7.814394883333334,5.10050357310231,65.27061467012302
-37.02154112438625,-73.14740956628478,327,Chile,o3,14.849624415686275,19.573121999999998,-4.723497584313723,-24.132571105997926
-37.02154112438625,-73.14740956628478,327,Chile,pm25,22.694792777,35.08704866666667,-12.392255889666668,-35.31860433003457
-36.785925744186045,-73.11739880232558,537,Chile,no2,9.639388020408163,13.552036,-3.9126479795918367,-28.871292694262596
-36.785925744186045,-73.11739880232558,537,Chile,o3,22.25448730927835,15.446826,6.80766130927835,44.07158667598347
-36.731279224213075,-73.1208123070218,1144,Chile,no2,10.697857063809524,9.70097922,0.9968778438095232,10.276053800365972
-36.731279224213075,-73.1208123070218,1144,Chile,pm25,15.719114586915888,14.809406454545455,0.909708132370433,6.142772400518564
-36.6056209155646,-72.09116678738556,299,Chile,pm25,15.526562170192308,6.390344225,9.136217945192309,142.96910500454786
-35.42328979924953,-71.64960202157599,1143,Chile,pm25,14.593541839622642,4.914682227272727,9.678859612349914,196.93764855517304
-35.312018105386414,149.0831618969555,235,Australia,no2,0.0043887259293164645,0.021845347983794332,-0.017456622054477868,-79.91002051067267
-35.312018105386414,149.0831618969555,235,Australia,o3,0.03323876323244036,0.075028380048,-0.041789616815559635,-55.6984127723728
-35.312018105386414,149.0831618969555,235,Australia,pm25,6.85251153853211,204.98506500000002,-198.13255346146792,-96.65706789978475
-34.90786131034483,138.5511344367816,16,Australia,no2,0.011240209257714462,0.0075608398396748,0.003679369418039662,48.663501622300146
-34.90786131034483,138.5511344367816,16,Australia,o3,0.0366600210906,0.0555421993456,-0.018882178255,-33.99609392042526
-34.90786131034483,138.5511344367816,16,Australia,pm25,4.787167431481482,11.940000333333334,-7.152832901851852,-59.90647154240882
-34.49283926637025,150.82783840743735,555,Australia,no2,0.0077808969602443274,0.006058683083074446,0.0017222138771698812,28.42554815222243
-34.49283926637025,150.82783840743735,555,Australia,o3,0.03408594696290642,0.03813500330094546,-0.0040490563380390365,-10.617689753651211
-34.49283926637025,150.82783840743735,555,Australia,pm25,5.840485841284404,20.861765,-15.021279158715593,-72.0038748337717
-34.15310302518657,-70.72552164458955,979,Chile,pm25,18.9300006875,10.286220555555555,8.643780131944446,84.03261514041684
-34.05234494546178,150.70530174363057,1138,Australia,no2,0.010469645612327102,0.006306026546314549,0.0041636190660125525,66.02603137542941
-34.05234494546178,150.70530174363057,1138,Australia,o3,0.03319635820091111,0.047550544946181814,-0.014354186745270704,-30.18721817282413
-34.05234494546178,150.70530174363057,1138,Australia,pm25,6.429060504587156,28.8825595,-22.453498995412843,-77.74068290385706
-33.88156183645046,151.1459482769598,1136,Australia,no2,0.01401187825910042,0.008009611642731866,0.006002266616368554,74.93829768656974
-33.88156183645046,151.1459482769598,1136,Australia,o3,0.030854034967426665,0.039259765734545454,-0.008405730767118789,-21.41054743921311
-33.88156183645046,151.1459482769598,1136,Australia,pm25,6.147390714678899,18.011501000000003,-11.864110285321104,-65.86963676886842
-33.73793938946945,150.81888960209002,1137,Australia,no2,0.009204791051229273,0.006633724608757133,0.00257106644247214,38.75750945521756
-33.73793938946945,150.81888960209002,1137,Australia,o3,0.033234402057485506,0.04731414514734546,-0.014079743089859952,-29.757999528498065
-33.73793938946945,150.81888960209002,1137,Australia,pm25,6.402929414678899,21.267826,-14.864896585321102,-69.8938226470402
-33.33929506716418,149.33540395522388,273,Australia,pm25,5.810846005660378,29.059782499999997,-23.24893649433962,-80.00382141311492
-32.92682446851385,-71.48308008060454,321,Chile,no2,14.812590474038462,16.727472125,-1.9148816509615365,-11.447525583376434
-32.92682446851385,-71.48308008060454,321,Chile,o3,54.447661048076924,52.807279875,1.6403811730769249,3.106354231764764
-32.92682446851385,-71.48308008060454,321,Chile,pm25,11.903314252830189,9.4187502,2.484564052830189,26.378914400237402
-32.875077957309706,151.69559405155056,705,Australia,no2,0.00989077629485711,0.006121871118036899,0.0037689051768202107,61.56459527081298
-32.875077957309706,151.69559405155056,705,Australia,o3,0.032221769560566604,0.040217312608145456,-0.007995543047578851,-19.880848642182684
-32.875077957309706,151.69559405155056,705,Australia,pm25,7.120823328440367,24.960156,-17.839332671559635,-71.4712386876093
-32.79797829291204,-71.48559664218617,973,Chile,no2,12.056424529357798,10.051923754545454,2.0045007748123442,19.941464178992742
-32.79797829291204,-71.48559664218617,973,Chile,o3,26.476236752293577,22.718155909090907,3.75808084320267,16.542191444767905
-32.7475968231525,-71.44123860316104,958,Chile,no2,13.609371933962263,12.272689181818182,1.3366827521440818,10.89152289560432
-32.7475968231525,-71.44123860316104,958,Chile,o3,23.95353456542056,23.624961,0.3285735654205624,1.3907898744068292
