country,param,predic,observed,diff,diffUpr,diffLwr,diffRel,diffUprRel,diffLwrRel
Spain,no2,14.7,9.1,-5.6,-8.9,-2.3,-61.7,-97.9,-25.5
Spain,o3,55.5,61.2,5.7,-0.2,11.7,9.3,-0.4,19.1
Spain,pm25,7.1,7.5,0.4,-1.4,2.1,5.3,-17.9,28.5
Sweden,no2,26.6,18.4,-8.2,-11.7,-4.7,-44.4,-63.5,-25.3
Sweden,pm25,4.6,3.7,-0.8,-2.4,0.7,-22.4,-63.5,18.6
Sweden,o3,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,no2,25.6,17.4,-8.2,-10.2,-6.3,-47.3,-58.5,-36
Switzerland,o3,62,63.3,1.3,-2.8,5.4,2.1,-4.4,8.5
Switzerland,pm25,17.4,34.6,17.2,11.7,22.6,49.7,33.9,65.4
Thailand,no2,0,0,0,0,0,-48.1,-59.2,-37
Thailand,o3,0,0,0,0,0,19.1,13.6,24.6
Thailand,pm25,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,o3,0.1,0.1,0,0,0,-45.7,-75.5,-15.9
United Arab Emirates,pm25,48.5,26.2,-22.3,-37.2,-7.4,-85.1,-141.8,-28.4
United Arab Emirates,no2,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,no2,28.8,17.2,-11.6,-13.1,-10.1,-67.3,-76,-58.5
United Kingdom,o3,54.8,63.3,8.5,6.2,10.8,13.4,9.7,17
United Kingdom,pm25,10.6,11.1,0.5,-0.7,1.7,4.5,-6.4,15.5
United States,no2,0,0,0,0,0,-37.5,-46.1,-28.9
United States,o3,0.1,0.1,0,0,0,-12,-17,-6.9
United States,pm25,7.1,5.7,-1.4,-1.9,-1,-25.5,-32.8,-18.2
