predVar,countryCode,param,r2,fstat,pval,predic,predLwr,predUpr,observed,nObs,date
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,47.629761262934316,43.97147784989989,51.28804467596874,44.51064,740,2020-01-01
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,44.35116206251017,40.80132452245813,47.90099960256221,44,740,2020-01-02
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,46.81813411053082,43.46737132255358,50.16889689850806,38.08889,740,2020-01-03
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,58.39611006352961,55.3055788078269,61.486641319232326,50.851063,740,2020-01-04
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,61.3402930104135,58.08490558853098,64.59568043229602,50.770832,740,2020-01-05
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,55.72857867720298,52.5611964016802,58.895960952725765,43.479168,740,2020-01-06
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,52.202744535563866,49.20583404188001,55.19965502924772,49.68889,740,2020-01-07
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,46.11104995111717,43.01196314920287,49.21013675303146,46.5625,740,2020-01-08
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,41.590597202617396,38.50335686139481,44.67783754383998,38.6875,740,2020-01-09
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,50.72321427559194,47.78254911816277,53.663879433021116,58.574467,740,2020-01-10
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,65.39332743884853,62.22986047627831,68.55679440141874,61.979167999999994,740,2020-01-11
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,59.90675163597542,56.7011180033555,63.11238526859534,51.833332,740,2020-01-12
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,51.998985410824694,48.468899475182674,55.529071346466715,48.06383,740,2020-01-13
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,50.448738481873775,47.23318076351907,53.66429620022848,43.625,740,2020-01-14
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,46.98715215088294,44.224600405439,49.749703896326885,43.75,740,2020-01-15
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,43.762486526700364,40.73683496773252,46.78813808566821,46.29787,740,2020-01-16
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,43.13361053572647,40.50799782152908,45.759223249923856,48.625,740,2020-01-17
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,48.53592751117348,45.309573284850536,51.76228173749643,52.291668,740,2020-01-18
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,64.96568172032322,61.025990980243186,68.90537246040324,63.148937,740,2020-01-19
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,65.07301237839982,61.73289040481559,68.41313435198406,63.666668,740,2020-01-20
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,53.1889388789958,50.32616420101502,56.05171355697658,44.041668,740,2020-01-21
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,42.216834542561244,38.990433039291204,45.443236045831284,39.567566,740,2020-01-22
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,42.82250009868612,40.07312627883914,45.5718739185331,46.125,740,2020-01-23
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,44.64627406294055,41.77684632743144,47.515701798449655,40.833332,740,2020-01-24
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,39.965194076580964,36.95799167695793,42.972396476204,39.914894,740,2020-01-25
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,40.68354473573754,37.639917406589255,43.72717206488583,40.0625,740,2020-01-26
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,41.65735967891557,38.59797470791003,44.716744649921104,35.229168,740,2020-01-27
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,44.660509967671864,41.87349900953761,47.44752092580612,36.042553,740,2020-01-28
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,48.830647930921934,46.062895795791924,51.598400066051944,45.979168,740,2020-01-29
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,39.300993629173995,36.02237495961821,42.57961229872978,33.6875,740,2020-01-30
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,43.353271241835756,40.25812762447214,46.448414859199374,35.48936,740,2020-01-31
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,46.94547023075689,44.20181757479054,49.68912288672324,44.541668,740,2020-02-01
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,47.46362513858892,44.70888795347434,50.218362323703495,41.729168,740,2020-02-02
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,49.57918834011653,46.5418458523158,52.61653082791726,33.212765,740,2020-02-03
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,61.73135492256017,58.351922674849156,65.11078717027118,62.06521600000001,740,2020-02-04
mean,AND,o3,0.6854185096777942,87.27410873756354,3.2933247041127477e-167,71.69656657706659,68.23140621347413,75.16172694065905,71.166664,740,2020-02-05
