mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
-0.073131256,11,30.42147,69.65617,25,10,2017,NO,Sør-Varanger,so2,µg/m³
6.2471905,21,4.668288,50.655437,6,10,2017,BE,Brabant wallon,pm10,µg/m³
6.1,1,-7.3975,38.615,23,9,2017,PT,Évora,pm10,µg/m³
5.471006,169,18.364494,49.784996,24,10,2017,CZ,Moravskoslezský,so2,µg/m³
10.252292,48,-0.605868,47.92858,24,10,2017,FR,Mayenne,pm10,µg/m³
33.253075,22,18.936113,46.976112,24,10,2017,HU,Fejér,o3,µg/m³
9.646816,22,21.71474,42.13556,24,10,2017,MK,Kumanovo Municipality,pm10,µg/m³
24.846153,13,-1.138073,53.518867,24,10,2017,GB,Doncaster,no2,µg/m³
0.003,8,-107.12083,41.78237,17,10,2017,US,CARBON,so2,ppm
6.090909,22,-1.146447,52.95473,1,11,2017,GB,Nottingham,so2,µg/m³
0.1,10,-4.691462,51.781784,17,8,2017,GB,Narberth,no2,µg/m³
45.55,6,-117.6174,34.0309,15,11,2017,US,SAN BERNARDINO,pm25,µg/m³
18.4,5,-81.8789,26.6028,15,11,2017,US,Cape Coral-Fort Myers,pm10,µg/m³
0.0306,5,-84.3483,30.4397,15,11,2017,US,Tallahassee,o3,ppm
5.485714,7,-114.37109,43.682556,15,11,2017,US,BLAINE,pm25,µg/m³
19.214287,7,-114.18927,48.363693,15,11,2017,US,FLATHEAD,pm25,µg/m³
9.525,8,-72.3095,43.629604,15,11,2017,US,Lebanon,pm25,µg/m³
0.01525,8,-75.067825,40.924606,15,11,2017,US,WARREN,no2,ppm
32.94375,16,-80.2843,36.06835,15,11,2017,US,Winston-Salem,pm25,µg/m³
0.01825,8,-80.395,35.5519,15,11,2017,US,Salisbury,o3,ppm
3.2875,8,-84.0539,40.771,15,11,2017,US,Lima,pm25,µg/m³
17.428572,7,-97.4722,35.6128,15,11,2017,US,Oklahoma City,pm10,µg/m³
6.883333,6,-81.09073,34.06537,15,11,2017,US,Columbia,pm25,µg/m³
0.114999995,4,-124.6203,48.2867,15,11,2017,US,Port Angeles,co,ppm
0,6,-122.61428,48.52059,15,11,2017,US,SKAGIT,so2,ppm
3.142857,7,-88.81,45.5639,15,11,2017,US,FOREST,pm25,µg/m³
0.78571427,7,-106.3953,31.7122,15,11,2017,US,El Paso,co,ppm
39.466667,45,-5.9513764,54.58642,20,10,2017,GB,Belfast,no2,µg/m³
33.67108,37,,,20,10,2017,IN,Aurangabad,no2,µg/m³
422.6182,22,-8.632942,41.177246,3,10,2017,PT,Porto,co,µg/m³
41.667885,73,5.3083405,60.39822,10,11,2017,NO,Bergen,no2,µg/m³
29.753454,165,8.721021,53.226116,1,11,2017,DE,Bremen,no2,µg/m³
-898.2524,21,4.46134,51.9271,1,11,2017,NL,Rotterdam Noord ,no2,µg/m³
-25.330952,21,5.14845,51.5184,1,11,2017,NL,Biest Houtakker,no2,µg/m³
10.62535,42,5.12632,52.10315,1,11,2017,NL,Utrecht,pm25,µg/m³
0.001071429,14,,,1,11,2017,TH,Prachin Buri,so2,ppm
20.166666,6,-121.66881,39.32756,28,10,2017,US,Chico,pm25,µg/m³
10.3529415,17,-120.22818,34.661125,28,10,2017,US,Santa Barbara-Santa Maria,pm25,µg/m³
1.5714285,7,-156.4461,20.7808,28,10,2017,US,Kahului-Wailuku,pm25,µg/m³
33,11,-116.40401,43.597847,28,10,2017,US,Boise City-Nampa,pm10,µg/m³
0.0275,30,-106.60646,35.0906,28,10,2017,US,Albuquerque,o3,ppm
5,6,-91.225,43.7781,28,10,2017,US,La Crosse,pm25,µg/m³
283.236,50,73.03791,26.292065,16,11,2017,IN,Jodhpur,pm10,µg/m³
266.7857,56,11.874084,51.82189,2,11,2017,DE,Sachsen-Anhalt,co,µg/m³
0.007,2,-87.6161,44.1386,6,9,2017,US,Manitowoc,o3,ppm
6.7485714,217,11.283945,48.825386,2,10,2017,DE,Bayern,pm25,µg/m³
-145056.25,96,13.317117,41.669914,14,11,2017,IT,Frosinone,co,µg/m³
0.66,5,-119.77321,36.785378,23,10,2017,US,FRESNO,co,ppm
0.029000001,5,-122.190834,39.53389,23,10,2017,US,GLENN,o3,ppm
9.428572,14,-120.880325,40.02134,23,10,2017,US,PLUMAS,pm25,µg/m³
0.03825,28,-80.52182,41.284233,23,10,2017,US,Youngstown-Warren-Boardman,o3,ppm
0.29166666,6,-71.38958,41.8349,23,10,2017,US,Providence-New Bedford-Fall River,co,ppm
3.33E-04,6,-82.516304,36.52102,23,10,2017,US,Kingsport-Bristol-Bristol,so2,ppm
5.07,10,-122.58714,48.492996,23,10,2017,US,SKAGIT,pm25,µg/m³
21.629168,24,-2.763889,47.648888,16,11,2017,FR,Morbihan,pm25,µg/m³
15.440434,46,-71.65681,-35.421482,31,10,2017,CL,Talca,pm10,µg/m³
5.404762,21,20.955555,52.407578,3,8,2016,PL,Legionowo,no2,µg/m³
0,22,150.67361,-32.195,3,8,2016,AU,Central Coast,so2,ppm
