system:index,city_id,countryCode,date,downward_shortwave_radiation_flux,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,total_cloud_cover_entire_atmosphere,total_precipitation_surface,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,.geo
2017010100F001_000000000000000005ca,1473,CHN,2017-01-01T00:00:00,146.0869565,10.67826101,79.83913173,0.005232609,4.266517175,20.30434783,0.079130435,0.05652174,0.852608671,
2017010100F001_000000000000000005cb,1474,CHN,2017-01-01T00:00:00,150.8695652,15.29565235,81.66956611,0.005866087,8.444343102,9.608695652,0,-0.064347822,0.748695637,
2017010100F001_000000000000000005cc,1475,CHN,2017-01-01T00:00:00,195.2173913,35.22608765,70.50434975,0.008947391,18.45434491,21.30434783,0,-0.393043469,-0.142173916,
2017010100F001_000000000000000005cd,1476,CHN,2017-01-01T00:00:00,79.13043478,13.43913066,68.26521815,0.004753043,8.011298669,43.52173913,0,1.569999971,-1.863043438,
2017010100F001_000000000000000005ce,1477,CHN,2017-01-01T00:00:00,120.8695652,19.16956562,88.87826173,0.006714782,10.16129655,54,4.35E-04,-0.435217388,0.585652158,
2017010100F001_000000000000000005cf,1478,CHN,2017-01-01T00:00:00,84.7826087,3.113043536,51.64782698,0.001489565,-4.112615967,10.95652174,0,1.477391278,-2.112608658,
2017010100F001_000000000000000005d0,1479,CHN,2017-01-01T00:00:00,163.4782609,22.88260908,68.40869705,0.006552609,13.7252123,61.73913043,0,-0.21130434,-1.046086918,
2017010100F001_000000000000000005d1,1480,CHN,2017-01-01T00:00:00,92.17391304,5.478260984,91.69130541,0.002646956,-3.905660347,13.08695652,0,0.986086922,2.532173856,
2017010100F001_000000000000000005d4,1483,CHN,2017-01-01T00:00:00,192.173913,32.88260949,79.94782738,0.009602609,17.6578202,12.26086957,0,-1.106956486,0.470434771,
2017010100F001_000000000000000005d5,1484,CHN,2017-01-01T00:00:00,189.1304348,13.29565239,72.29130571,0.006506087,10.70695084,0.608695652,0,-0.582608681,0.356521728,
2017010100F001_000000000000000005d7,1486,CHN,2017-01-01T00:00:00,104.7826087,8.421739247,81.07391474,0.003945217,3.90260169,68.82608696,0,1.677391249,0.988260832,
2017010100F001_000000000000000005d8,1487,CHN,2017-01-01T00:00:00,167.826087,22.6086959,68.7347845,0.006055652,12.39999443,41.86956522,0,-0.342608688,-0.340434786,
2017010100F001_000000000000000005da,1489,CHN,2017-01-01T00:00:00,124.3478261,13.23043512,69.84782775,0.003881739,6.063904339,10.39130435,0,-1.318695631,1.443913004,
2017010100F001_000000000000000005dc,1491,CHN,2017-01-01T00:00:00,143.9130435,19.9869568,88.85652327,0.006908261,10.57260318,34.52173913,0,-0.774782579,1.458260844,
2017010100F001_000000000000000005e0,1495,CHN,2017-01-01T00:00:00,205.2173913,9.626087106,77.78695745,0.005980869,7.760867442,0,0,1.588695619,0.730869543,
2017010100F001_000000000000000005e1,1496,CHN,2017-01-01T00:00:00,84.34782609,4.5956523,78.25217537,0.001355217,-10.50913617,18.26086957,4.35E-04,0.145652165,-0.89521738,
2017010100F001_000000000000000005e2,1497,CHN,2017-01-01T00:00:00,185.6521739,2.430434839,40.93478311,0.001437391,-6.997831394,25.65217391,0,-1.436086924,2.773043415,
2017010100F001_000000000000000005e3,1498,CHN,2017-01-01T00:00:00,192.6086957,7.500000062,68.62173984,0.005243043,8.156949781,3.52173913,0,1.001739115,0.316956518,
2017010100F001_000000000000000005e4,1499,CHN,2017-01-01T00:00:00,98.26086957,4.230434832,38.83913131,0.001544783,0.108689549,52.13043478,0,0.30869565,0.116956521,
2017010100F001_000000000000000005e5,1500,CHN,2017-01-01T00:00:00,84.34782609,8.430434932,48.75652214,0.002301739,2.023906409,42.08695652,0,0.147826082,-0.977391284,
2017010100F001_000000000000000005e6,1501,CHN,2017-01-01T00:00:00,165.6521739,21.11304391,83.36521779,0.008476956,12.54477645,23.26086957,0.01826087,-0.457391293,0.62260868,
2017010100F001_000000000000000005e7,1502,CHN,2017-01-01T00:00:00,156.5217391,20.60000038,80.77391384,0.006824782,11.80173181,31.60869565,0,0.074347827,-0.606521725,
2017010100F001_000000000000000005e8,1503,CHN,2017-01-01T00:00:00,201.7391304,7.665217524,69.53913183,0.006228261,9.535645062,0,0,3.549999945,3.061304258,
2017010100F001_000000000000000005e9,1504,CHN,2017-01-01T00:00:00,90,3.269565292,60.76087089,0.001972609,-3.745656685,31,0,1.951304317,-0.33130434,
2017010100F001_000000000000000005ea,1505,CHN,2017-01-01T00:00:00,93.04347826,3.591304427,42.83913107,0.001374348,-1.672182299,32.17391304,0,2.559565161,-0.113478254,
2017010100F001_000000000000000005eb,1506,CHN,2017-01-01T00:00:00,96.08695652,4.978260942,91.56956648,0.00269913,-3.774352497,22,0,8.70E-04,2.077391268,
2017010100F001_000000000000000005ec,1507,CHN,2017-01-01T00:00:00,52.60869565,42.60869632,79.51304427,0.008603043,15.57129888,62.17391304,0.55217392,0.303913039,0.051304343,
2017010100F001_000000000000000005f0,1511,CHN,2017-01-01T00:00:00,126.0869565,14.92173954,76.02173963,0.004306087,5.931297501,35.04347826,0.07478261,-0.614782598,-0.325652166,
2017010100F001_000000000000000005f1,1512,CHN,2017-01-01T00:00:00,71.30434783,42.37391381,79.4565229,0.008976521,16.30608255,89.34782609,0.933043487,0.567391284,0.443478253,
2017010100F001_000000000000000005f2,1513,CHN,2017-01-01T00:00:00,167.826087,23.0086961,71.55652287,0.006556956,13.11651399,41.91304348,0,-0.407391294,-0.738695646,
2017010100F001_000000000000000005f3,1514,CHN,2017-01-01T00:00:00,120.4347826,36.94782639,67.94782755,0.008311304,17.52129782,83.86956522,0.010434783,-0.216086954,0.613478247,
2017010100F001_000000000000000005f5,1516,CHN,2017-01-01T00:00:00,192.173913,30.76087056,78.06956714,0.00880913,16.24520927,0.217391304,0,-0.522173896,0.29260869,
2017010100F001_000000000000000005f6,1517,CHN,2017-01-01T00:00:00,110,40.32173936,65.64782765,0.008027826,17.90651325,33.34782609,0,-0.31304347,-0.917391284,
2017010100F001_000000000000000005f7,1518,CHN,2017-01-01T00:00:00,204.3478261,9.713043752,77.93913236,0.005723478,6.744344164,0.173913043,0,0.963043446,0.661739118,
2017010100F001_000000000000000005f8,1519,CHN,2017-01-01T00:00:00,78.26086957,3.778260946,38.00434842,0.001556956,-0.591310717,50.34782609,0,0.115652172,-2.212608644,
2017010100F001_000000000000000005fa,1521,CHN,2017-01-01T00:00:00,151.7391304,19.10434822,63.0347839,0.005183043,11.5691255,24.95652174,0,-0.403478251,-0.869130421,
2017010100F001_000000000000000005fb,1522,CHN,2017-01-01T00:00:00,187.3913043,10.66521752,79.36087152,0.007124348,10.28608027,42.43478261,0.04652174,0.002608698,-0.926956485,
2017010100F001_000000000000000005fd,1524,CHN,2017-01-01T00:00:00,135.2173913,11.87391323,58.73043591,0.003825217,7.31695079,15.39130435,0,-0.748260852,-0.266521737,
2017010100F001_00000000000000000602,1529,CHN,2017-01-01T00:00:00,147.826087,19.34347874,81.87391347,0.006063478,9.99999655,20.39130435,0,0.065652173,-0.596086939,
2017010100F001_00000000000000000603,1530,CHN,2017-01-01T00:00:00,86.95652174,5.634782625,90.83913123,0.002775652,-3.13696236,12.13043478,0,1.618695601,1.973912985,
2017010100F001_00000000000000000606,1533,CHN,2017-01-01T00:00:00,193.4782609,33.39565294,72.32174069,0.008189565,16.28086574,6.347826087,0,-0.279565213,-0.879130417,
